_id,CoordXAval,CoordYAval
665992d1c4de9b0113c1c4f5,719565.56,6376889.5
665992d1c4de9b0113c1c4fb,708896,6436720.5
665992d1c4de9b0113c1c50f,649216.64,6392171.33
665992d1c4de9b0113c1c511,597974.3,6380867.11
665992d1c4de9b0113c1c512,597974.3,6380867.11
665992d1c4de9b0113c1c550,664821.2,6498547.5
665992d1c4de9b0113c1c555,661649.2,6504514
665992d1c4de9b0113c1c558,589194.7,6480742.5
665992d1c4de9b0113c1c559,589194.7,6480742.5
665992d1c4de9b0113c1c561,539681.63,6472491.02
665992d1c4de9b0113c1c562,539681.63,6472491.02
665992d1c4de9b0113c1c575,634778.94,6461944
665992d1c4de9b0113c1c58a,606377.59,6421259.46
665992d1c4de9b0113c1c59a,605775,6467628.5
665992d1c4de9b0113c1c59b,605775,6467628.5
665992d1c4de9b0113c1c59c,600269.25,6460127.5
665992d1c4de9b0113c1c59e,600269.25,6460127.5
665992d1c4de9b0113c1c5a0,587676.7,6453647
665992d1c4de9b0113c1c5c2,567693.4,6482460.5
665992d1c4de9b0113c1c5cc,522226.06,6488085.55
665992d1c4de9b0113c1c5ea,459745.93,6271531.58
665992d1c4de9b0113c1c5eb,459745.93,6271531.58
665992d1c4de9b0113c1c5ec,468303.02,6220784.91
665992d1c4de9b0113c1c5ed,468303.02,6220784.91
665992d1c4de9b0113c1c5ee,476095.62,6232832.61
665992d1c4de9b0113c1c5ef,476095.62,6232832.61
665992d1c4de9b0113c1c5f1,453418.29,6185872.35
665992d1c4de9b0113c1c5f3,431340.16,6243420.53
665992d1c4de9b0113c1c5f4,448652.91,6215934.71
665992d1c4de9b0113c1c5f5,448652.91,6215934.71
665992d1c4de9b0113c1c5f6,452316.34,6205110.65
665992d1c4de9b0113c1c5fe,409461.61,6235452.13
665992d1c4de9b0113c1c602,459394.88,6267351.2
665992d1c4de9b0113c1c603,459394.88,6267351.2
665992d1c4de9b0113c1c612,407654.15,6300903.94
665992d1c4de9b0113c1c61c,433831.37,6332124.2
665992d1c4de9b0113c1c61f,440253.2,6336671.9
665992d1c4de9b0113c1c620,440253.2,6336671.9
665992d1c4de9b0113c1c623,416040.5,6327977.3
665992d1c4de9b0113c1c629,398223.97,6315841.35
665992d1c4de9b0113c1c630,401244.74,6285967.03
665992d1c4de9b0113c1c635,395335.68,6286777.64
